اسم الورقة المالية	الرمز	الكود الدولي	رابط الاخبار
 النيل للادوية والصناعات الكيماوية - النيل	NIPH	EGS38331C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS38331C012 
 النصر لتصنيع الحاصلات الزراعية	ELNA	EGS300L1C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS300L1C011 
 العربية للمحابس	ARVA	EGS3E1E1C013	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3E1E1C013 
 جى بى كوربوريشن	GBCO	EGS673T1C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS673T1C012 
 مجموعة طلعت مصطفى القابضة	TMGH	EGS691S1C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS691S1C011 
 برايم القابضة للاستثمارات المالية	PRMH	EGS691A1C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS691A1C011 
 الحفر الوطنية	NDRL.	EGS735N2C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS735N2C012 
 دلتا للطباعة والتغليف	DTPP	EGS370W1C013	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS370W1C013 
 اسباير كابيتال القابضة للاستثمارات المالية	ASPI	EGS691L1C018	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS691L1C018 
 الشمس بيراميدز للفنادق والمنشأت السياحية	SPHT	EGS70H02C014	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS70H02C014 
 الاسكندرية للزيوت المعدنية	AMOC	EGS380P1C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS380P1C010 
 مطاحن ومخابز شمال القاهرة	MILS	EGS30361C017	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS30361C017 
 مطاحن ومخابز الاسكندرية	AFMC	EGS30471C014	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS30471C014 
 مطاحن مصر العليا	UEFM	EGS30451C016	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS30451C016 
 مطاحن وسط وغرب الدلتا	WCDF	EGS30421C019	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS30421C019 
 مطاحن مصر الوسطي	CEFM	EGS30401C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS30401C011 
 القاهرة للزيوت والصابون	COSG	EGS30581C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS30581C010 
 جولدن تكس للاصواف	GTWL	EGS32161C019	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS32161C019 
 العربية لحليب الأقطار	ACGC	EGS32221C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS32221C011 
 النساجون الشرقيون للسجاد	ORWE	EGS33041C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS33041C012 
 المصريين للاسكان والتنمية والتعمير	EHDR	EGS65341C017	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS65341C017 
 العربية للادوية والصناعات الكيماوية	ADCI	EGS38321C013	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS38321C013 
 مصر للزيوت والصابون	MOSC	EGS38421C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS38421C011 
 القاهرة للادوية والصناعات الكيماوية	CPCI	EGS38391C016	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS38391C016 
 المالية والصناعية المصرية	EFIC	EGS38381C017	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS38381C017 
 غاز مصر	EGAS	EGS39011C019	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS39011C019 
 العامة لمنتجات الخزف والصيني	PRCL	EGS3C111C019	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3C111C019 
 العز للسيراميك والبورسلين - الجوهره	ECAP	EGS3C071C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3C071C015 
 العربية للخزف - سيراميكا ريماس	CERA	EGS3C151C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3C151C015 
 اسمنت سيناء	SCEM	EGS3C401C014	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3C401C014 
 مصر بنى سويف للاسمنت	MBSC	EGS3C371C019	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3C371C019 
 جنوب الوادى للاسمنت	SVCE	EGS3C351C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3C351C011 
 الدلتا للسكر	SUGR	EGS30201C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS30201C015 
 الشرقية الوطنية للامن الغذائي	SNFC	EGS30291C016	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS30291C016 
 الاستثمار العقاري العربي - اليكو	RREI	EGS65011C016	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS65011C016 
 المهندس للتأمين	MOIN	EGS63041C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS63041C015 
 القاهرة الوطنية للاستثمار والاوراق المالية	KWIN	EGS69011C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS69011C012 
 مجموعة اي اف جي القابضة	HRHO	EGS69101C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS69101C011 
 الدلتا للتأمين	DEIN	EGS63031C016	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS63031C016 
 الوطنية للاسكان للنقابات المهنية	NHPS	EGS65131C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS65131C012 
 القاهرة للاسكان والتعمير	ELKA	EGS65071C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS65071C010 
 المجموعة المصريه العقاريه	AREH	EGS65211C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS65211C012 
 رواد السياحة - الرواد	ROTO	EGS70281C018	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS70281C018 
 جولدن بيراميدز بلازا	GPPL	EGS70342C018	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS70342C018 
 بيراميزا للفنادق والقرى السياحية - بيراميزا	PHTV	EGS70331C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS70331C011 
 المصرية للمنتجعات السياحية	EGTS	EGS70431C019	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS70431C019 
